DATE,CPI
Mar-1975,13.2
Jun-1975,14.9
Sep-1975,14.8
Dec-1975,15.7
Mar-1976,17.2
Jun-1976,17.7
Sep-1976,17.2
Dec-1976,15.6
Mar-1977,13.7
Jun-1977,14.0
Sep-1977,14.4
Dec-1977,15.3
Mar-1978,14.6
Jun-1978,12.3
Sep-1978,11.1
Dec-1978,10.1
Mar-1979,10.4
Jun-1979,12.4
Sep-1979,15.2
Dec-1979,16.5
Mar-1980,18.4
Jun-1980,17.9
Sep-1980,16.3
Dec-1980,16.1
Mar-1981,15.2
Jun-1981,15.1
Sep-1981,15.4
Dec-1981,15.7
Mar-1982,15.8
Jun-1982,17.0
Sep-1982,16.6
Dec-1982,15.3
Mar-1983,12.6
Jun-1983,8.3
Sep-1983,5.4
Dec-1983,3.6
Mar-1984,3.5
Jun-1984,4.7
Sep-1984,7.0
Dec-1984,9.4
Mar-1985,13.4
Jun-1985,16.6
Sep-1985,16.3
Dec-1985,15.3
Mar-1986,13.0
Jun-1986,10.4
Sep-1986,11.0
Dec-1986,18.2
Mar-1987,18.3
Jun-1987,18.9
Sep-1987,16.9
Dec-1987,9.6
Mar-1988,9.0
Jun-1988,6.3
Sep-1988,5.6
Dec-1988,4.7
Mar-1989,4.0
Jun-1989,4.4
Sep-1989,7.2
Dec-1989,7.2
Mar-1990,7.0
Jun-1990,7.6
Sep-1990,5.0
Dec-1990,4.9
Mar-1991,4.5
Jun-1991,2.8
Sep-1991,2.2
Dec-1991,1.0
Mar-1992,0.8
Jun-1992,1.0
Sep-1992,1.0
Dec-1992,1.3
Mar-1993,1.0
Jun-1993,1.3
Sep-1993,1.5
Dec-1993,1.4
Mar-1994,1.3
Jun-1994,1.1
Sep-1994,1.8
Dec-1994,2.8
Mar-1995,4.0
Jun-1995,4.6
Sep-1995,3.5
Dec-1995,2.9
Mar-1996,2.2
Jun-1996,2.0
Sep-1996,2.4
Dec-1996,2.6
Mar-1997,1.8
Jun-1997,1.1
Sep-1997,1.0
Dec-1997,0.8
Mar-1998,1.3
Jun-1998,1.7
Sep-1998,1.7
Dec-1998,0.4
Mar-1999,-0.1
Jun-1999,-0.4
Sep-1999,-0.5
Dec-1999,0.5
Mar-2000,1.5
Jun-2000,2.0
Sep-2000,3.0
Dec-2000,4.0
Mar-2001,3.1
Jun-2001,3.2
Sep-2001,2.4
Dec-2001,1.8
Mar-2002,2.6
Jun-2002,2.8
Sep-2002,2.6
Dec-2002,2.7
Mar-2003,2.5
Jun-2003,1.5
Sep-2003,1.5
Dec-2003,1.6
Mar-2004,1.5
Jun-2004,2.4
Sep-2004,2.5
Dec-2004,2.7
Mar-2005,2.8
Jun-2005,2.8
Sep-2005,3.4
Dec-2005,3.2
Mar-2006,3.3
Jun-2006,4.0
Sep-2006,3.5
Dec-2006,2.6
Mar-2007,2.5
Jun-2007,2.0
Sep-2007,1.8
Dec-2007,3.2
Mar-2008,3.4
Jun-2008,4.0
Sep-2008,5.1
Dec-2008,3.4
Mar-2009,3.0
Jun-2009,1.9
Sep-2009,1.7
Dec-2009,2.0
Mar-2010,2.0
Jun-2010,1.7
Sep-2010,1.5
Dec-2010,4.0
Mar-2011,4.5
Jun-2011,5.3
Sep-2011,4.6
Dec-2011,1.8
Mar-2012,1.6
Jun-2012,1.0
Sep-2012,0.8
Dec-2012,0.9
Mar-2013,0.9
Jun-2013,0.7
Sep-2013,1.4
Dec-2013,1.6
Mar-2014,1.5
Jun-2014,1.6
Sep-2014,1.0
Dec-2014,0.8
Mar-2015,0.3
Jun-2015,0.4
Sep-2015,0.4
Dec-2015,0.1
Mar-2016,0.4
Jun-2016,0.4
Sep-2016,0.4
Dec-2016,1.3
Mar-2017,2.2
Jun-2017,1.7
Sep-2017,1.9
Dec-2017,1.6
Mar-2018,1.1
Jun-2018,1.5
Sep-2018,1.9
Dec-2018,1.9
Mar-2019,1.5
Jun-2019,1.7
Sep-2019,1.5
Dec-2019,1.9
Mar-2020,2.5
,
