Date,claims,int_rate,servicing_pct
36130,100.4,8.8,8.2
36220,100.1,8.3,7.8
36312,101.1,8.1,7.5
36404,101.4,8,7.5
36495,101.9,8,7.6
36586,102,8.3,8.1
36678,104.3,8.8,8.8
36770,105.9,9,9.2
36861,108.3,9,9.3
36951,110,9,9.3
37043,111.5,8.7,8.9
37135,111.5,8.4,8.7
37226,112.3,8.1,8.5
37316,112.9,7.8,8.3
37408,116.5,8.1,8.8
37500,118.3,8.3,9.2
37591,121.3,8.3,9.3
37681,123.8,8.2,9.4
37773,125.9,8.1,9.2
37865,127.6,7.8,9
37956,130.2,7.7,9.1
38047,131.5,7.8,9.4
38139,133.7,7.8,9.5
38231,134.8,8,9.8
38322,137.3,8.1,10.3
38412,139.4,8.2,10.6
38504,142.7,8.3,11
38596,145.3,8.3,11.2
38687,148.5,8.4,11.6
38777,150.4,8.5,11.8
38869,152.7,8.5,11.9
38961,153.3,8.6,12
39052,154.9,8.6,12.2
39142,156.3,8.6,12.4
39234,157.5,8.7,12.4
39326,156.7,8.9,12.7
39417,156.8,9.1,13.1
39508,156.7,9.1,13.4
39600,157.1,9.3,13.9
39692,157.5,9.4,14.1
39783,157.6,9.3,13.8
39873,158.2,8.7,12.9
39965,158.6,8.1,11.9
40057,158,7.7,11.3
40148,157.4,7.4,10.8
40238,156.6,7.2,10.5
40330,156,7.1,10.2
40422,154.5,7.1,10.2
40513,152.8,7.1,10.1
40603,151.4,7.1,9.9
40695,150.4,6.8,9.3
40787,148.4,6.7,9.1
40878,146.7,6.6,9
40969,145.7,6.6,8.9
41061,146.9,6.4,8.9
41153,147.5,6.3,8.7
41244,149,6.2,8.6
41334,150.5,6.1,8.5
41426,151.4,6.1,8.4
41518,151.6,6,8.4
41609,152.2,6,8.5
41699,153.1,6,8.6
41791,153.6,6.2,8.8
41883,153.8,6.4,9.1
41974,154.5,6.5,9.3
42064,156,6.5,9.4
42156,156.7,6.4,9.2
42248,157.6,6.2,9
42339,158.4,6,8.8
42430,159.3,5.8,8.6
42522,160.4,5.6,8.2
42614,161,5.5,8
42705,161.4,5.4,8
42795,161.2,5.2,7.8
42887,161.4,5.2,7.8
42979,161,5.2,7.7
43070,161.1,5.2,7.7
43160,161.2,5.2,7.7
43252,161.5,5.2,7.7
43344,161.6,5.1,7.7
43435,162,5.1,7.6
43525,162.4,5,7.5
43617,162.7,4.9,7.4
43709,162.8,4.8,7.2
43800,163.5,4.6,7
43891,163.4,4.5,6.8
