,Employment,U_rate
Mar-86,1623.0,4.2
Jun-86,1621.0,4.1
Sep-86,1621.0,4.2
Dec-86,1609.0,4.3
Mar-87,1627.0,4.1
Jun-87,1624.0,4.2
Sep-87,1627.0,4.2
Dec-87,1617.0,4.4
Mar-88,1597.0,5.0
Jun-88,1580.0,5.5
Sep-88,1557.0,6.4
Dec-88,1553.0,6.3
Mar-89,1533.0,7.1
Jun-89,1517.0,7.5
Sep-89,1520.0,7.4
Dec-89,1525.0,7.3
Mar-90,1533.0,7.2
Jun-90,1543.0,7.7
Sep-90,1536.0,8.1
Dec-90,1527.0,8.9
Mar-91,1519.0,9.8
Jun-91,1513.0,10.5
Sep-91,1505.0,11.2
Dec-91,1499.0,11.0
Mar-92,1508.0,11.0
Jun-92,1518.0,10.5
Sep-92,1511.0,10.6
Dec-92,1518.0,10.6
Mar-93,1526.0,10.1
Jun-93,1535.0,10.2
Sep-93,1552.0,9.5
Dec-93,1566.0,9.4
Mar-94,1582.0,9.3
Jun-94,1599.0,8.5
Sep-94,1620.0,8.0
Dec-94,1643.0,7.6
Mar-95,1662.0,6.8
Jun-95,1678.0,6.4
Sep-95,1695.0,6.2
Dec-95,1709.0,6.4
Mar-96,1722.0,6.4
Jun-96,1740.0,6.2
Sep-96,1754.0,6.5
Dec-96,1744.0,6.2
Mar-97,1745.0,6.7
Jun-97,1754.0,6.8
Sep-97,1752.0,7.0
Dec-97,1750.0,7.0
Mar-98,1745.0,7.4
Jun-98,1738.0,7.9
Sep-98,1737.0,7.7
Dec-98,1734.0,7.9
Mar-99,1752.0,7.5
Jun-99,1758.0,7.3
Sep-99,1766.0,7.0
Dec-99,1786.0,6.4
Mar-00,1784.0,6.5
Jun-00,1784.0,6.3
Sep-00,1806.0,6.0
Dec-00,1822.0,5.8
Mar-01,1824.0,5.5
Jun-01,1841.0,5.4
Sep-01,1845.0,5.4
Dec-01,1868.0,5.6
Mar-02,1893.0,5.3
Jun-02,1905.0,5.3
Sep-02,1903.0,5.5
Dec-02,1918.0,5.1
Mar-03,1926.0,5.0
Jun-03,1942.0,4.8
Sep-03,1971.0,4.5
Dec-03,1973.0,4.7
Mar-04,1991.0,4.3
Jun-04,2006.0,4.2
Sep-04,2030.0,3.9
Dec-04,2064.0,3.7
Mar-05,2061.0,3.9
Jun-05,2071.0,3.8
Sep-05,2098.0,3.8
Dec-05,2099.0,3.7
Mar-06,2120.0,4.1
Jun-06,2140.0,3.7
Sep-06,2133.0,3.9
Dec-06,2133.0,3.8
Mar-07,2159.0,3.9
Jun-07,2170.0,3.6
Sep-07,2166.0,3.5
Dec-07,2180.0,3.3
Mar-08,2183.0,3.8
Jun-08,2181.0,3.8
Sep-08,2182.0,4.0
Dec-08,2195.0,4.4
Mar-09,2155.0,5.0
Jun-09,2157.0,5.7
Sep-09,2137.0,6.1
Dec-09,2139.0,6.5
Mar-10,2146.0,5.9
Jun-10,2151.0,6.5
Sep-10,2169.0,6.0
Dec-10,2161.0,6.2
Mar-11,2181.0,6.0
Jun-11,2189.0,6.0
Sep-11,2192.0,5.9
Dec-11,2192.0,6.0
Mar-12,2194.0,6.3
Jun-12,2197.0,6.3
Sep-12,2188.0,6.7
Dec-12,2193.0,6.3
Mar-13,2198.0,5.7
Jun-13,2209.0,5.9
Sep-13,2241.0,5.8
Dec-13,2257.0,5.6
Mar-14,2278.0,5.5
Jun-14,2286.0,5.2
Sep-14,2307.0,5.2
Dec-14,2335.0,5.5
Mar-15,2351.0,5.4
Jun-15,2351.0,5.4
Sep-15,2337.0,5.6
Dec-15,2365.0,4.9
Mar-16,2393.0,5.2
Jun-16,2453.0,5.0
Sep-16,2473.0,5.0
Dec-16,2494.0,5.2
Mar-17,2522.0,4.9
Jun-17,2520.0,4.8
Sep-17,2561.0,4.7
Dec-17,2573.0,4.5
Mar-18,2586.0,4.3
Jun-18,2600.0,4.5
Sep-18,2620.0,4.0
Dec-18,2623.0,4.3
Mar-19,2623.0,4.1
Jun-19,2641.0,4.0
Sep-19,2647.0,4.1
Dec-19,2648.0,4.0
,,
Last updated 5 February 2020,,
