Date,USD,GBP,AUD,JPY/100,EUR,CAD,RMB/10
36161,0.5391,0.3267,0.8523,0.6097,0.4648,0.819,0.44631
36192,0.5444,0.3341,0.8498,0.634,0.4851,0.8151,0.45065
36220,0.5321,0.3283,0.844,0.6363,0.4886,0.8073,0.44051
36251,0.5417,0.3368,0.8458,0.6482,0.5058,0.8069,0.44846
36281,0.5528,0.3422,0.8358,0.6738,0.5198,0.8075,0.4576
36312,0.5327,0.3338,0.8121,0.6432,0.5129,0.7829,0.44099
36342,0.5267,0.3347,0.8009,0.6311,0.509,0.7826,0.43604
36373,0.5271,0.3281,0.8165,0.5981,0.4969,0.7869,0.43635
36404,0.5224,0.3221,0.8053,0.5605,0.4978,0.7722,0.43248
36434,0.5148,0.3105,0.7895,0.546,0.4805,0.7602,0.42619
36465,0.5124,0.3157,0.8014,0.5368,0.4951,0.7518,0.4242
36495,0.5085,0.3153,0.7943,0.5218,0.5024,0.7492,0.42097
36526,0.5138,0.313,0.7811,0.5415,0.5062,0.7444,0.4254
36557,0.4914,0.3066,0.7812,0.5374,0.4992,0.7125,0.40679
36586,0.4908,0.3104,0.8042,0.5237,0.5087,0.7168,0.40632
36617,0.4969,0.3136,0.831,0.5233,0.5236,0.7281,0.41133
36647,0.4712,0.3118,0.8143,0.5099,0.5196,0.704,0.3901
36678,0.4699,0.3112,0.7908,0.4987,0.4951,0.6942,0.389
36708,0.4609,0.3054,0.7836,0.497,0.49,0.6811,0.38153
36739,0.4464,0.2993,0.7677,0.483,0.4925,0.6618,0.36953
36770,0.4188,0.2922,0.7546,0.4469,0.4805,0.621,0.34667
36800,0.4012,0.2762,0.7578,0.4347,0.469,0.6064,0.33212
36831,0.3988,0.2796,0.7638,0.4343,0.4667,0.6151,0.33012
36861,0.4284,0.2932,0.7853,0.4797,0.4785,0.6533,0.35463
36892,0.4445,0.3008,0.8,0.5194,0.4737,0.668,0.36803
36923,0.4351,0.2996,0.8143,0.5059,0.4726,0.6621,0.36013
36951,0.4199,0.2904,0.8309,0.5084,0.461,0.6535,0.34758
36982,0.4066,0.2834,0.8128,0.5039,0.4553,0.6345,0.33656
37012,0.4221,0.2957,0.8107,0.5146,0.4816,0.6502,0.34936
37043,0.4148,0.296,0.7999,0.5072,0.4858,0.6326,0.34327
37073,0.4087,0.2889,0.8014,0.5087,0.4752,0.625,0.33832
37104,0.4306,0.2997,0.8211,0.5235,0.4782,0.6623,0.35639
37135,0.4198,0.2869,0.828,0.4986,0.4605,0.657,0.34747
37165,0.4141,0.285,0.821,0.502,0.4567,0.6502,0.34276
37196,0.4163,0.2896,0.8057,0.5092,0.4687,0.6635,0.34456
37226,0.4157,0.2886,0.808,0.528,0.4655,0.6557,0.34409
37257,0.4246,0.2963,0.8212,0.5635,0.4804,0.6795,0.35151
37288,0.4188,0.2943,0.8163,0.5594,0.4814,0.6682,0.34668
37316,0.4318,0.3035,0.8237,0.5661,0.4925,0.6851,0.35762
37347,0.4427,0.307,0.8267,0.5798,0.5,0.7005,0.36685
37377,0.4601,0.3151,0.8377,0.582,0.5021,0.7133,0.3811
37408,0.4897,0.3303,0.8607,0.6045,0.5128,0.75,0.40577
37438,0.4816,0.3096,0.8686,0.5685,0.4849,0.7427,0.39901
37469,0.4638,0.3017,0.8568,0.5522,0.4744,0.7281,0.38428
37500,0.4699,0.3022,0.8587,0.5674,0.4793,0.7393,0.38935
37530,0.4806,0.3086,0.8744,0.5955,0.4897,0.7593,0.39815
37561,0.4968,0.316,0.8851,0.6037,0.496,0.7806,0.41163
37591,0.5095,0.3214,0.9051,0.622,0.5005,0.7944,0.42233
37622,0.5409,0.3345,0.9267,0.6421,0.5089,0.833,0.4481
37653,0.5534,0.344,0.9311,0.6611,0.5138,0.8376,0.45878
37681,0.5541,0.35,0.9203,0.6576,0.5133,0.8178,0.45923
37712,0.5509,0.3501,0.9053,0.66,0.5078,0.804,0.45647
37742,0.5762,0.3553,0.8907,0.6761,0.4986,0.7976,0.47728
37773,0.5809,0.3498,0.8741,0.687,0.4976,0.7855,0.48094
37803,0.586,0.3606,0.8854,0.6952,0.5149,0.8073,0.4855
37834,0.5823,0.3651,0.8937,0.6918,0.5219,0.8134,0.48239
37865,0.5838,0.3627,0.8831,0.6721,0.5202,0.7972,0.48314
37895,0.601,0.3587,0.8676,0.6587,0.5136,0.7962,0.49782
37926,0.6277,0.3717,0.8773,0.6854,0.5368,0.8245,0.52019
37956,0.6466,0.3699,0.8758,0.6974,0.5271,0.8489,0.53518
37987,0.6724,0.369,0.8728,0.7155,0.5332,0.8709,0.55684
38018,0.6916,0.3703,0.8891,0.7368,0.5473,0.9182,0.57278
38047,0.6614,0.3616,0.8811,0.719,0.5388,0.879,0.5477
38078,0.6419,0.3556,0.8622,0.6894,0.535,0.86,0.53165
38108,0.6156,0.3445,0.8731,0.69,0.5127,0.8482,0.50976
38139,0.6293,0.344,0.9058,0.6881,0.5184,0.856,0.52112
38169,0.6466,0.3508,0.903,0.7067,0.5268,0.8549,0.53535
38200,0.6542,0.3594,0.9209,0.7219,0.537,0.8593,0.54167
38231,0.6588,0.3674,0.9384,0.7249,0.5392,0.8501,0.54544
38261,0.6825,0.3782,0.9326,0.7447,0.5471,0.8533,0.56504
38292,0.6993,0.3764,0.9084,0.7329,0.5387,0.837,0.57905
38322,0.7142,0.3702,0.9315,0.7418,0.5337,0.8687,0.59134
38353,0.704,0.375,0.921,0.727,0.5375,0.8625,0.58276
38384,0.7143,0.3787,0.9144,0.7495,0.5491,0.8848,0.59138
38412,0.7306,0.3829,0.9295,0.768,0.5529,0.889,0.60501
38443,0.7185,0.3794,0.9307,0.7716,0.5555,0.8872,0.59493
38473,0.7191,0.3871,0.9382,0.7664,0.5661,0.903,0.59537
38504,0.7085,0.3895,0.9242,0.7701,0.5828,0.8797,0.58661
38534,0.6794,0.3876,0.9029,0.7602,0.5641,0.8317,0.55875
38565,0.695,0.3877,0.9126,0.7694,0.5653,0.8382,0.56328
38596,0.6995,0.3867,0.9144,0.7768,0.5708,0.825,0.56557
38626,0.6978,0.3955,0.9245,0.8003,0.5799,0.8208,0.56408
38657,0.6899,0.3972,0.9371,0.8162,0.5845,0.8154,0.55771
38687,0.6961,0.3986,0.9368,0.8268,0.5873,0.8087,0.56229
38718,0.6878,0.3891,0.9166,0.7934,0.5669,0.7962,0.55494
38749,0.6731,0.3849,0.9076,0.7936,0.5632,0.7734,0.54214
38777,0.6364,0.3647,0.8741,0.7461,0.5293,0.7351,0.51149
38808,0.6204,0.3515,0.8446,0.7264,0.5057,0.7112,0.49733
38838,0.6314,0.3384,0.8274,0.7065,0.495,0.7013,0.50634
38869,0.619,0.3359,0.8371,0.7099,0.4892,0.6894,0.49572
38899,0.6168,0.3345,0.8215,0.7138,0.486,0.696,0.49299
38930,0.6329,0.3346,0.8296,0.7332,0.4943,0.709,0.5048
38961,0.6547,0.3469,0.8655,0.7668,0.514,0.7304,0.51956
38991,0.6604,0.3523,0.8776,0.7835,0.5234,0.745,0.52204
39022,0.6689,0.3502,0.8661,0.7849,0.5197,0.7595,0.52614
39052,0.6918,0.3523,0.8805,0.8101,0.5237,0.7969,0.54122
39083,0.6953,0.355,0.8883,0.8375,0.5353,0.8176,0.54165
39114,0.6939,0.3542,0.8865,0.8365,0.5303,0.8122,0.53835
39142,0.6982,0.3585,0.8815,0.8191,0.5271,0.8165,0.54027
39173,0.7347,0.3697,0.888,0.8735,0.544,0.8349,0.56766
39203,0.7325,0.3692,0.8885,0.8843,0.5419,0.8036,0.56244
39234,0.7559,0.3806,0.898,0.9266,0.5634,0.8057,0.5769
39264,0.7858,0.3864,0.9065,0.9558,0.5729,0.8261,0.5954
39295,0.7285,0.3622,0.8766,0.8516,0.5347,0.7717,0.55174
39326,0.7171,0.3554,0.8492,0.8248,0.5162,0.7376,0.53957
39356,0.7606,0.3722,0.8464,0.8817,0.5348,0.7436,0.5707
39387,0.7624,0.3681,0.8499,0.8469,0.5197,0.7362,0.56628
39417,0.7686,0.3801,0.8811,0.8626,0.5276,0.771,0.56688
39448,0.7718,0.3921,0.8758,0.8317,0.5244,0.7808,0.55907
39479,0.7968,0.4057,0.8733,0.8543,0.5402,0.7971,0.57118
39508,0.8027,0.4007,0.8669,0.8106,0.5176,0.8016,0.56836
39539,0.79,0.3989,0.85,0.8094,0.5012,0.8007,0.55306
39569,0.7769,0.3951,0.8188,0.81,0.4992,0.7773,0.54186
39600,0.7607,0.387,0.7997,0.8132,0.4888,0.7732,0.52492
39630,0.7553,0.3798,0.7848,0.8066,0.4791,0.7653,0.51649
39661,0.7102,0.3753,0.8031,0.7762,0.4739,0.7469,0.48662
39692,0.6748,0.3749,0.8224,0.7199,0.4689,0.7141,0.46134
39722,0.6137,0.3604,0.8809,0.6199,0.4587,0.715,0.41948
39753,0.5651,0.3686,0.86,0.548,0.4442,0.6882,0.3859
39783,0.5569,0.3735,0.832,0.5085,0.4146,0.6871,0.38174
39814,0.5526,0.3815,0.8154,0.4996,0.416,0.6758,0.37777
39845,0.5151,0.3576,0.7938,0.4764,0.4022,0.6402,0.3521
39873,0.5308,0.3739,0.7979,0.5185,0.4067,0.6705,0.3629
39904,0.5709,0.3882,0.8006,0.5642,0.4323,0.7009,0.39004
39934,0.5989,0.3891,0.7855,0.5792,0.4394,0.6914,0.4087
39965,0.6374,0.3894,0.7953,0.6163,0.455,0.7176,0.43557
39995,0.6437,0.3932,0.8011,0.6082,0.4573,0.7248,0.43974
40026,0.6754,0.4082,0.8089,0.6414,0.4736,0.7343,0.4615
40057,0.7024,0.4304,0.8166,0.6429,0.4827,0.7602,0.47965
40087,0.7383,0.4566,0.8157,0.6658,0.4986,0.7779,0.50383
40118,0.7309,0.44,0.7943,0.6526,0.49,0.7745,0.49872
40148,0.7162,0.4407,0.7929,0.6415,0.4901,0.7564,0.48876
40179,0.7277,0.45,0.7959,0.6638,0.5092,0.7581,0.4968
40210,0.6974,0.4455,0.7868,0.6293,0.5094,0.737,0.47627
40238,0.7032,0.467,0.7712,0.6366,0.5178,0.7204,0.48006
40269,0.7123,0.4644,0.7685,0.6652,0.5304,0.7157,0.48624
40299,0.6992,0.4761,0.8019,0.6436,0.5557,0.7272,0.47738
40330,0.6928,0.4696,0.8105,0.6296,0.5665,0.7186,0.47252
40360,0.7111,0.4657,0.8134,0.6231,0.5572,0.7428,0.48192
40391,0.7154,0.4566,0.7944,0.6117,0.5541,0.7434,0.48547
40422,0.7259,0.4667,0.7766,0.6128,0.5566,0.7514,0.48981
40452,0.7501,0.4734,0.7647,0.6148,0.5404,0.7637,0.50031
40483,0.7727,0.4836,0.7805,0.6369,0.5646,0.7823,0.51413
40513,0.7504,0.4807,0.7573,0.6257,0.5679,0.7573,0.49918
40544,0.7653,0.4847,0.7692,0.6329,0.5732,0.7603,0.50499
40575,0.7623,0.4728,0.7565,0.6298,0.5583,0.754,0.50147
40603,0.7408,0.4582,0.7333,0.6041,0.529,0.7235,0.48639
40634,0.7859,0.481,0.745,0.6557,0.5447,0.7535,0.51342
40664,0.7958,0.4868,0.7447,0.646,0.555,0.7697,0.51698
40695,0.815,0.5023,0.7686,0.6563,0.5666,0.7964,0.52778
40725,0.8455,0.5238,0.7851,0.6717,0.5912,0.8082,0.54611
40756,0.8384,0.5123,0.7977,0.6467,0.5849,0.822,0.53714
40787,0.8143,0.5155,0.7943,0.6259,0.5907,0.8137,0.52023
40817,0.7879,0.5007,0.7799,0.6039,0.5754,0.8056,0.502
40848,0.7728,0.4884,0.7635,0.5995,0.5692,0.7912,0.49118
40878,0.7697,0.4936,0.7603,0.5992,0.5838,0.7881,0.48902
40909,0.8007,0.5162,0.7691,0.6162,0.6208,0.8114,0.50589
40940,0.8343,0.5281,0.778,0.6547,0.6305,0.8323,0.52568
40969,0.8208,0.5186,0.7779,0.6769,0.6212,0.815,0.51816
41000,0.819,0.5117,0.7908,0.6666,0.6217,0.8136,0.5164
41030,0.7762,0.4868,0.7766,0.6192,0.6053,0.7827,0.49079
41061,0.7801,0.5014,0.7813,0.6192,0.6216,0.8012,0.49646
41091,0.7982,0.5118,0.7757,0.631,0.6487,0.8098,0.50849
41122,0.8098,0.5156,0.7733,0.6372,0.6535,0.8047,0.51507
41153,0.8174,0.5076,0.7867,0.639,0.6357,0.8001,0.51693
41183,0.8198,0.5099,0.7967,0.647,0.6325,0.8084,0.51375
41214,0.8192,0.513,0.7874,0.663,0.6382,0.8169,0.5107
41244,0.8318,0.5155,0.7943,0.6954,0.6346,0.8231,0.51846
41275,0.8375,0.5247,0.7969,0.7463,0.6301,0.8304,0.52105
41306,0.8389,0.5418,0.8135,0.7812,0.6282,0.8458,0.5229
41334,0.8278,0.5492,0.8013,0.7849,0.6385,0.8487,0.5146
