Date,AUS,CAN,GER,JPN,KOR,NZ,UK,US
1970,22422.1,21656.6,20828,16098.1,2693.9,20414.7,18147.3,25280.8
1971,22355.1,22227.4,21306.1,16688.8,2917.5,20862,18683.9,25786.1
1972,22578.5,23181.4,22117.9,17849.3,3068,21561.1,19432.6,26853.6
1973,23151,24465.1,23103.8,18843,3461.2,22789.2,20654,28099.9
1974,23094.4,24917.3,23302.6,18358.7,3724.3,23669.1,20136.2,27692.1
1975,23459.8,24915.2,23188.8,18695.4,3950.1,22844.8,19843,27368.7
1976,24060.5,26035,24448.9,19223.1,4397.4,22842.4,20424.1,28564.9
1977,23984.9,26616.8,25316.4,19871.5,4860.9,21859,20935.8,29586.9
1978,24696.5,27323.9,26105.8,20729.8,5303.6,21921.6,21820.6,30896.5
1979,25146.7,28058.8,27181.6,21685.4,5674.3,22337.8,22613.7,31524
1980,25626.6,28296.4,27494.5,22120.8,5491.5,22581.5,22119,31081.3
1981,26273.8,28920.5,27599.5,22887.3,5794.7,23535.3,21933.8,31553.8
1982,25249,27667.6,27519.6,23481,6177.5,23560.1,22398,30690.1
1983,26046.7,28108.2,28028.5,24143.9,6893.1,24057.9,23333.3,31807.2
1984,27086.8,29489.2,28922,25069.6,7519.5,24963.4,23823.4,33811.6
1985,27807.5,30605.3,29663.1,26219.4,8022.8,25257.9,24747.8,34909.5
1986,28107.9,30952.5,30333,26955.5,8835,24328.8,25468.9,35791.6
1987,29272.8,31791.4,30747.2,28097,9839,24523.4,26785.7,36700.5
1988,29910.7,32765.8,31725,29879.7,10903.2,24955,28265.4,37887.4
1989,30458.8,32928.8,32725.8,31214.3,11554.8,24941.9,28912.2,38909.6
1990,29892.1,32489.5,34147.3,32634,12564.1,24835,29042.4,39200.7
1991,29635.3,31418.9,35618.3,33616,13728.3,23506.9,28621.5,38641
1992,30486.2,31328.7,36067.4,33774.3,14425.5,23560.6,28663.5,39474
1993,31419.6,31810.8,35517.4,33499.6,15257.2,24798.5,29311.5,40037
1994,32312.1,32878.4,36279.1,33784.1,16495,25745.3,30361,41148.4
1995,33193.6,33416.6,36762.9,34622,17892.9,26510.5,31042.1,41756.4
1996,34093.8,33604.6,36992.8,35617.1,19069.1,26984.5,31739.5,42829.4
1997,35270.6,34696.3,37632.3,35914.7,20009.9,27464.6,32878.3,44202.5
1998,36692.4,35750.2,38422.3,35414.4,18779,27542.5,33982.8,45648.9
1999,37720.6,37291.6,39160.8,35258.8,20754.7,28815.5,35022.6,47275.3
2000,38011.5,38858.8,40277.3,36169.1,22418.9,29299.4,36102.2,48691.5
2001,39028.2,39127,40930.9,36230.1,23327.1,30155.5,37033.3,48690.2
2002,39738.9,39872,40819.1,36196.6,24984.1,31118.2,37732.6,49068.5
2003,40877.7,40226,40542.3,36682.4,25637.5,31933.4,38795.5,50008.6
2004,41738.8,41082.7,41071.5,37461.7,26862.8,32521.9,39509.1,51441.8
2005,42386.2,42000.5,41428.5,38078.3,27960.9,33231,40453,52757.8
2006,43425.5,42673.6,43095.8,38594,29279.2,33689.9,41298,53751
2007,44200,43136.8,44481,39188.9,30820.7,34671.9,41962.3,54237.1
2008,44162.2,43100.7,45035.8,38740.7,31509.2,33814.5,41502.5,53656.7
2009,44155.7,41364.6,42618.3,36645.4,31596,34095.5,39460.7,51836.5
2010,44544.7,42171.2,44509.3,38178.8,33578.5,34083.2,39910.1,52729.5
2011,45651.5,43074.4,46261.1,38198,34549.1,34771,40188.6,53160.6
2012,46020.9,43359.5,46368,38853.9,35193.8,35428.6,40514.1,53972.1
2013,46381.6,43903.1,46439.5,39699.3,36142.7,35825.2,41122,54590.1
2014,46696.7,44711.3,47275.6,39870.3,37066.4,36520.1,41873.5,55565.8
2015,47304.8,44671.4,47683.5,40406.1,37907.5,37403.1,42522.2,56770.4
2016,47674.3,44610.7,48355,40673.6,38869.9,38055.4,42982.7,57291.4
2017,48256.3,45478.8,49362.4,41630,39985.6,38890.9,43536,58271.8
2018,48402.3,45750.5,49965.8,41851.4,40856.3,39365.9,43856.7,59606.5
2019,48534.2,45841.7,50127.4,42226.4,41504.4,39613.6,44210.3,60704.6
