DATE,NZ,AUS,USA,JPN,UK
32933,0.2,4.4,3.3,4.0,2.1
33025,-0.5,3.6,3.0,4.5,1.8
33117,-0.3,2.3,2.4,5.3,1.3
33208,0.0,1.4,1.9,4.9,0.7
33298,0.2,0.4,0.9,5.6,0.3
33390,0.3,-0.4,0.2,5.1,-0.3
33482,-0.3,-0.6,-0.3,3.7,-0.7
33573,-1.3,-1.3,-0.1,3.4,-1.1
33664,-1.1,-0.7,0.8,2.4,-0.5
33756,-0.5,0.4,1.8,1.7,0.0
33848,-0.1,1.2,2.7,1.5,0.2
33939,0.7,3.0,3.5,0.8,0.4
34029,1.1,3.8,3.6,0.5,0.6
34121,1.9,4.0,3.5,0.2,0.8
34213,3.6,4.1,3.2,-0.5,1.5
34304,5.2,4.1,2.8,-0.5,2.5
34394,6.4,3.7,2.8,-0.9,3.1
34486,6.6,4.0,3.1,-0.2,3.7
34578,6.0,4.8,3.7,0.7,4.0
34669,5.6,4.7,4.0,1.0,3.8
34759,5.1,4.5,4.0,1.6,3.6
34851,5.2,3.8,3.6,1.7,2.9
34943,5.2,2.9,3.2,2.0,2.4
35034,4.9,3.1,2.7,2.7,2.5
35125,4.7,3.4,2.5,3.3,2.4
35217,4.3,3.9,2.9,3.4,2.7
35309,4.0,3.9,3.2,3.2,2.9
35400,4.1,4.0,3.8,3.1,2.5
35490,3.6,3.8,4.2,2.9,3.2
35582,3.5,4.0,4.3,2.3,3.4
35674,3.3,4.5,4.4,2.0,3.4
35765,2.5,4.2,4.4,1.1,3.9
35855,2.1,5.0,4.6,0.0,3.5
35947,1.0,4.6,4.5,-0.4,3.4
36039,0.3,4.7,4.4,-1.0,3.6
36130,0.3,5.0,4.5,-1.1,3.6
36220,0.8,4.8,4.5,-0.9,3.6
36312,1.7,5.1,4.6,-0.7,3.6
36404,3.2,4.8,4.8,-0.3,3.4
36495,4.6,4.2,4.8,-0.3,3.4
36586,5.5,4.0,4.6,0.7,3.7
36678,6.0,3.9,4.8,1.4,3.8
36770,5.4,3.6,4.6,1.9,3.8
36861,4.3,3.3,4.1,2.8,3.4
