LOCATION,TIME,Value
AUS,1990,7.821
AUS,1991,7.404
AUS,1992,7.401
AUS,1993,7.849
AUS,1994,8.106
AUS,1995,8.207
AUS,1996,8.085
AUS,1997,7.895
AUS,1998,8.056
AUS,1999,7.811
AUS,2000,8.776
AUS,2001,8.814
AUS,2002,9.091
AUS,2003,8.953
AUS,2004,8.688
AUS,2005,8.414
AUS,2006,8.097
AUS,2007,7.971
AUS,2008,7.473
AUS,2009,7.58
AUS,2010,7.324
AUS,2011,7.096
AUS,2012,7.623
AUS,2013,7.763
AUS,2014,7.327
AUS,2015,7.7
AUS,2016,7.477
AUS,2017,7.42
DEU,1990,9.304
DEU,1991,9.469
DEU,1992,9.725
DEU,1993,10.028
DEU,1994,10.446
DEU,1995,10.137
DEU,1996,9.987
DEU,1997,9.837
DEU,1998,9.686
DEU,1999,10.116
DEU,2000,10.172
DEU,2001,10.058
DEU,2002,9.997
DEU,2003,10.143
DEU,2004,9.885
DEU,2005,9.85
DEU,2006,9.792
DEU,2007,10.214
DEU,2008,10.24
DEU,2009,10.755
DEU,2010,10.314
DEU,2011,10.405
DEU,2012,10.344
DEU,2013,10.479
DEU,2014,10.343
DEU,2015,10.277
DEU,2016,10.143
DEU,2017,9.874
DEU,2018,10.02
JPN,1990,3.861
JPN,1991,3.887
JPN,1992,3.87
JPN,1993,3.982
JPN,1994,4.11
JPN,1995,4.085
JPN,1996,4.133
JPN,1997,4.51
JPN,1998,5.042
JPN,1999,5.166
JPN,2000,4.963
JPN,2001,5.018
JPN,2002,5.012
JPN,2003,4.982
JPN,2004,5.035
JPN,2005,5.096
JPN,2006,5.038
JPN,2007,4.945
JPN,2008,4.919
JPN,2009,4.953
JPN,2010,4.952
JPN,2011,5.053
JPN,2012,5.068
JPN,2013,5.075
JPN,2014,5.98
JPN,2015,6.433
JPN,2016,6.28
JPN,2017,6.581
JPN,2018,6.227
NZL,1990,12.141
NZL,1991,12.143
NZL,1992,12.369
NZL,1993,12.502
NZL,1994,11.939
NZL,1995,11.871
NZL,1996,11.816
NZL,1997,11.815
NZL,1998,11.72
NZL,1999,11.686
NZL,2000,11.285
NZL,2001,11.383
NZL,2002,11.679
NZL,2003,11.694
NZL,2004,11.574
NZL,2005,11.575
NZL,2006,11.522
NZL,2007,10.733
NZL,2008,11.101
NZL,2009,11.071
NZL,2010,11.996
NZL,2011,12.116
NZL,2012,12.277
NZL,2013,11.906
NZL,2014,12.254
NZL,2015,12.338
NZL,2016,12.145
NZL,2017,12.329
NZL,2018,12.57
GBR,1990,10.197
GBR,1991,10.527
GBR,1992,10.735
GBR,1993,10.529
GBR,1994,10.766
GBR,1995,10.398
GBR,1996,10.422
GBR,1997,10.229
GBR,1998,10.378
GBR,1999,10.627
GBR,2000,10.398
GBR,2001,10.227
GBR,2002,10.215
GBR,2003,10.235
GBR,2004,10.219
GBR,2005,9.787
GBR,2006,9.605
GBR,2007,9.563
GBR,2008,9.44
GBR,2009,9.065
GBR,2010,9.971
GBR,2011,10.8
GBR,2012,10.664
GBR,2013,10.589
GBR,2014,10.546
GBR,2015,10.606
GBR,2016,10.563
GBR,2017,10.6
GBR,2018,10.718
USA,1990,4.55
USA,1991,4.702
USA,1992,4.722
USA,1993,4.733
USA,1994,4.873
USA,1995,4.779
USA,1996,4.674
USA,1997,4.639
USA,1998,4.61
USA,1999,4.571
USA,2000,4.526
USA,2001,4.435
USA,2002,4.38
USA,2003,4.377
USA,2004,4.442
USA,2005,4.494
USA,2006,4.478
USA,2007,4.378
USA,2008,4.341
USA,2009,4.148
USA,2010,4.238
USA,2011,4.348
USA,2012,4.34
USA,2013,4.411
USA,2014,4.42
USA,2015,4.335
USA,2016,4.283
USA,2017,4.201
USA,2018,4.278
