Date,Public,Private,Combined
1989Q1,14.98,12.19,13.07
1989Q2,15.26,12.24,13.19
1989Q3,15.34,12.35,13.31
1989Q4,15.32,12.6,13.45
1990Q1,15.69,13.1,13.88
1990Q2,15.89,13.21,14.04
1990Q3,16.05,13.31,14.16
1990Q4,16.35,13.48,14.31
1991Q1,16.6,13.64,14.47
1991Q2,16.64,13.72,14.55
1991Q3,16.77,13.76,14.64
1991Q4,16.83,13.86,14.72
1992Q1,17.09,13.97,14.83
1992Q2,17.01,14.04,14.87
1992Q3,17,13.97,14.83
1992Q4,17.08,14.03,14.85
1993Q1,17.09,14.04,14.84
1993Q2,17.12,14.12,14.91
1993Q3,17.09,14.04,14.85
1993Q4,17.13,14.11,14.89
1994Q1,17.28,14.23,14.98
1994Q2,17.32,14.39,15.1
1994Q3,17.22,14.4,15.1
1994Q4,17.52,14.41,15.16
1995Q1,17.73,14.53,15.26
1995Q2,17.76,14.69,15.4
1995Q3,17.91,14.77,15.49
1995Q4,18.11,14.86,15.6
1996Q1,18.12,15.03,15.72
1996Q2,18.4,15.24,15.94
1996Q3,18.7,15.29,16.03
1996Q4,19.05,15.41,16.19
1997Q1,19.27,15.61,16.39
1997Q2,19.36,15.74,16.51
1997Q3,19.61,15.83,16.63
1997Q4,19.69,15.9,16.69
1998Q1,19.84,15.99,16.79
1998Q2,20.17,16.14,16.98
1998Q3,20.2,16.22,17.05
1998Q4,20.4,16.35,17.19
1999Q1,20.66,16.4,17.27
1999Q2,20.62,16.49,17.35
1999Q3,20.88,16.68,17.57
1999Q4,21.1,16.56,17.49
2000Q1,21.1,16.7,17.56
2000Q2,21.37,16.75,17.69
2000Q3,21.69,16.89,17.87
2000Q4,21.7,16.98,17.93
2001Q1,21.89,17.2,18.11
2001Q2,22.07,17.35,18.29
2001Q3,22.53,17.48,18.49
2001Q4,22.77,17.51,18.53
2002Q1,23.48,17.62,18.77
2002Q2,23.14,17.6,18.72
2002Q3,23.55,17.91,19.06
2002Q4,23.6,18.09,19.2
2003Q1,23.9,18.07,19.21
2003Q2,23.65,18.34,19.42
2003Q3,24.24,18.45,19.65
2003Q4,24.65,18.57,19.84
2004Q1,24.8,18.6,19.86
2004Q2,24.6,19.15,20.3
2004Q3,25.06,19.1,20.34
2004Q4,25.3,18.98,20.28
2005Q1,26.38,19.18,20.59
2005Q2,26.9,19.55,21.01
2005Q3,26.7,19.8,21.21
2005Q4,26.97,19.94,21.39
2006Q1,28.35,20.06,21.68
2006Q2,27.42,20.52,21.95
2006Q3,27.52,20.91,22.3
2006Q4,28.04,21.03,22.47
2007Q1,28.9,21.18,22.7
2007Q2,28.66,21.39,22.89
2007Q3,28.89,21.68,23.19
2007Q4,29.43,21.87,23.4
2008Q1,30.5,22.1,23.75
2008Q2,30.04,22.56,24.1
2008Q3,30.73,22.8,24.48
2008Q4,31.02,23,24.71
2009Q1,31.84,23.24,25.03
2009Q2,31.76,23.42,25.21
2009Q3,32.12,23.57,25.43
2009Q4,32.36,23.48,25.39
2010Q1,32.6,23.4,25.3
2010Q2,32.59,23.53,25.49
2010Q3,32.69,23.77,25.75
2010Q4,32.8,23.91,25.86
2011Q1,33.51,23.97,25.96
2011Q2,33.28,24.28,26.27
2011Q3,33.59,24.58,26.58
2011Q4,33.86,24.58,26.59
2012Q1,34.82,24.9,26.96
2012Q2,34.31,24.96,27
2012Q3,34.47,25.31,27.31
2012Q4,34.77,25.23,27.3
2013Q1,35.29,25.49,27.52
2013Q2,34.89,25.53,27.55
2013Q3,35.39,25.93,27.99
2013Q4,35.33,26,28.03
2014Q1,35.91,26.21,28.2
2014Q2,35.35,26.31,28.25
2014Q3,35.75,26.71,28.66
2014Q4,36.07,26.79,28.79
2015Q1,36.31,26.84,28.78
2015Q2,35.94,27.17,29.04
2015Q3,36.46,27.4,29.31
2015Q4,36.61,27.47,29.41
2016Q1,37.29,27.54,29.48
2016Q2,37.02,27.78,29.67
2016Q3,37.55,27.87,29.84
2016Q4,37.71,27.8,29.8
2017Q1,38.87,27.89,29.96
2017Q2,38.55,28.12,30.15
2017Q3,38.8,28.44,30.51
2017Q4,38.94,28.68,30.74
2018Q1,39.32,29.01,31.03
2018Q2,39.12,29.07,31.08
2018Q3,39.39,29.43,31.39
2018Q4,39.65,29.75,31.7
2019Q1,40.39,30.07,32.04
2019Q2,40.45,30.42,32.42
2019Q3,40.96,30.59,32.71
2019Q4,41.38,30.66,32.83
2020Q1,41.68,31.07,33.2
Table information:,,,
Units:,,,
"$, Magnitude = Units",,,
,,,
Footnotes:,,,
 ,,,
Symbols:,,,
.. figure not available,,,
C: Confidential,,,
E: Early Estimate,,,
P: Provisional,,,
R: Revised,,,
S: Suppressed,,,
,,,
Status flags are not displayed,,,
,,,
Table reference: ,,,
QEX002AA,,,
,,,
Last updated:,,,
06 May 2020 10:45am,,,
,,,
Source: Statistics New Zealand,,,
Contact: Information Centre,,,
Telephone: 0508 525 525,,,
Email:info@stats.govt.nz,,,
