LOCATION,TIME,Value
AUS,1990,73.50950918
AUS,1991,72.98114671
AUS,1992,72.82351306
AUS,1993,72.58648513
AUS,1994,73.19247683
AUS,1995,73.96465257
AUS,1996,74.03055274
AUS,1997,73.5926343
AUS,1998,73.51641559
AUS,1999,73.3377322
AUS,2000,73.79387119
AUS,2001,74.05658157
AUS,2002,74.14849777
AUS,2003,74.48874661
AUS,2004,74.36939561
AUS,2005,75.39708934
AUS,2006,75.80324543
AUS,2007,76.1927875
AUS,2008,76.5036062
AUS,2009,76.3855632
AUS,2010,76.43520217
AUS,2011,76.6423642
AUS,2012,76.43020058
AUS,2013,76.40534772
AUS,2014,76.30980434
AUS,2015,76.94368065
AUS,2016,76.94669143
AUS,2017,77.44984611
AUS,2018,78.02888798
AUS,2019,78.49319962
DEU,1990,67.43778174
DEU,1991,71.041403
DEU,1992,70.89161946
DEU,1993,70.74947703
DEU,1994,70.51125113
DEU,1995,70.40683835
DEU,1996,70.56578639
DEU,1997,70.84748199
DEU,1998,71.36542504
DEU,1999,71.18687098
DEU,2000,71.13564955
DEU,2001,71.4732687
DEU,2002,71.50277955
DEU,2003,71.29097576
DEU,2004,72.58085251
DEU,2005,73.83872437
DEU,2006,74.9940523
DEU,2007,75.63094822
DEU,2008,75.94247314
DEU,2009,76.36630281
DEU,2010,76.64187312
DEU,2011,77.31726417
DEU,2012,77.22143865
DEU,2013,77.62048823
DEU,2014,77.74278016
DEU,2015,77.63213384
DEU,2016,77.93652634
DEU,2017,78.24469443
DEU,2018,78.6457181
DEU,2019,79.23535741
JPN,1990,70.10920074
JPN,1991,70.66774492
JPN,1992,71.17314569
JPN,1993,71.32995858
JPN,1994,71.40722005
JPN,1995,71.52218901
JPN,1996,72.02072539
JPN,1997,72.5767506
JPN,1998,72.60273973
JPN,1999,72.42134378
JPN,2000,72.46159178
JPN,2001,72.59130435
JPN,2002,72.30966538
JPN,2003,72.30030452
JPN,2004,72.24571294
JPN,2005,72.63916795
JPN,2006,73.09433063
JPN,2007,73.64369061
JPN,2008,73.79912664
JPN,2009,73.92209701
JPN,2010,74.02613412
JPN,2011,73.79658385
JPN,2012,73.93359035
JPN,2013,74.86111111
JPN,2014,75.50288277
JPN,2015,75.94706798
JPN,2016,76.85755471
JPN,2017,77.54404418
JPN,2018,78.8532839
JPN,2019,79.54999334
NZL,1990,72.97945071
NZL,1991,73.12587646
NZL,1992,72.78695677
NZL,1993,72.84232318
NZL,1994,73.73432728
NZL,1995,74.5360094
NZL,1996,75.43071632
NZL,1997,75.35778182
NZL,1998,74.93248433
NZL,1999,74.88480276
NZL,2000,74.99701436
NZL,2001,75.54888578
NZL,2002,76.18236748
NZL,2003,75.81724112
NZL,2004,76.29049707
NZL,2005,77.2088431
NZL,2006,77.81630325
NZL,2007,78.05943387
NZL,2008,77.91284514
NZL,2009,77.69748641
NZL,2010,77.44043035
NZL,2011,77.74647908
NZL,2012,77.57002822
NZL,2013,77.50129683
NZL,2014,78.65764039
NZL,2015,78.69782677
NZL,2016,79.85935435
NZL,2017,80.89299497
NZL,2018,81.0952096
NZL,2019,80.88582458
GBR,1990,77.80390334
GBR,1991,77.34019994
GBR,1992,76.4913053
GBR,1993,76.13633235
GBR,1994,76.02070314
GBR,1995,75.77789995
GBR,1996,75.93978778
GBR,1997,76.30886418
GBR,1998,75.81713612
GBR,1999,76.27161317
GBR,2000,76.43738671
GBR,2001,76.26876253
GBR,2002,76.38256972
GBR,2003,76.42155371
GBR,2004,76.12240848
GBR,2005,76.3050587
GBR,2006,76.55919992
GBR,2007,76.41597324
GBR,2008,76.53025558
GBR,2009,76.49536133
GBR,2010,75.99192488
GBR,2011,76.03697469
GBR,2012,76.62990377
GBR,2013,77.0955993
GBR,2014,77.17780269
GBR,2015,77.62807789
GBR,2016,77.70586289
GBR,2017,78.21339635
GBR,2018,78.32233485
GBR,2019,78.77150915
USA,1990,76.53249458
USA,1991,76.24934098
USA,1992,76.63657718
USA,1993,76.58948625
USA,1994,76.73142223
USA,1995,76.87286478
USA,1996,77.0638996
USA,1997,77.36701257
USA,1998,77.36380243
USA,1999,77.23156976
USA,2000,77.19905533
USA,2001,76.81139449
USA,2002,76.39990858
USA,2003,75.81921388
USA,2004,75.44516792
USA,2005,75.40808527
USA,2006,75.54049927
USA,2007,75.30106318
USA,2008,75.2911619
USA,2009,74.62424736
USA,2010,73.90784683
USA,2011,73.2918105
USA,2012,73.10541367
USA,2013,72.81069082
USA,2014,72.69677369
USA,2015,72.60601195
USA,2016,72.95221968
USA,2017,73.34251254
USA,2018,73.62643216
USA,2019,74.11377431
OECD,1990,70.08003207
OECD,1991,69.60807423
OECD,1992,69.61358749
OECD,1993,69.38891653
OECD,1994,69.52974507
OECD,1995,69.49801525
OECD,1996,69.55299859
OECD,1997,69.81477215
OECD,1998,69.8929286
OECD,1999,69.94806574
OECD,2000,69.92954253
OECD,2001,69.8541231
OECD,2002,69.88708335
OECD,2003,69.76398218
OECD,2004,69.92870153
OECD,2005,70.13563953
OECD,2006,70.4456503
OECD,2007,70.47508007
OECD,2008,70.66848546
OECD,2009,70.65908406
OECD,2010,70.59401209
OECD,2011,70.60495299
OECD,2012,70.89129784
OECD,2013,71.06314303
OECD,2014,71.19578884
OECD,2015,71.40345201
OECD,2016,71.76134523
OECD,2017,72.11379108
OECD,2018,72.46074943
OECD,2019,72.80650639
