LOCATION,TIME,Value
AUS,1990,12.078
AUS,1991,11.086
AUS,1992,10.719
AUS,1993,11.011
AUS,1994,11.047
AUS,1995,11.486
AUS,1996,11.936
AUS,1997,12.036
AUS,1998,13.07
AUS,1999,13.234
AUS,2000,11.487
AUS,2001,11.914
AUS,2002,11.782
AUS,2003,11.907
AUS,2004,12.149
AUS,2005,11.866
AUS,2006,10.958
AUS,2007,10.837
AUS,2008,10.102
AUS,2009,9.579
AUS,2010,9.753
AUS,2011,10.196
AUS,2012,10.571
AUS,2013,10.633
AUS,2014,11.267
AUS,2015,11.535
AUS,2016,11.251
AUS,2017,11.502
AUT,1990,8.234
AUT,1991,8.635
AUT,1992,8.876
AUT,1993,9.011
AUT,1994,8.189
AUT,1995,8.566
AUT,1996,9.023
AUT,1997,9.53
AUT,1998,9.633
AUT,1999,9.723
AUT,2000,9.311
AUT,2001,9.916
AUT,2002,9.646
AUT,2003,9.644
AUT,2004,9.4
AUT,2005,8.959
AUT,2006,8.963
AUT,2007,9.064
AUT,2008,9.534
AUT,2009,9.079
AUT,2010,9.158
AUT,2011,9.205
AUT,2012,9.505
AUT,2013,9.717
AUT,2014,10.034
AUT,2015,10.326
AUT,2016,9.053
AUT,2017,9.062
AUT,2018,9.365
BEL,1990,13.179
BEL,1991,12.962
BEL,1992,12.869
BEL,1993,13.452
BEL,1994,13.52
BEL,1995,13.914
BEL,1996,13.576
BEL,1997,13.801
BEL,1998,13.824
BEL,1999,13.467
BEL,2000,13.655
BEL,2001,13.947
BEL,2002,13.907
BEL,2003,13.584
BEL,2004,13.376
BEL,2005,12.53
BEL,2006,12.038
BEL,2007,11.884
BEL,2008,12.309
BEL,2009,12.041
BEL,2010,12.039
BEL,2011,12.153
BEL,2012,12.297
BEL,2013,12.864
BEL,2014,12.966
BEL,2015,12.619
BEL,2016,12.144
BEL,2017,12.098
BEL,2018,12.113
CAN,1990,14.325
CAN,1991,14.44
CAN,1992,13.743
CAN,1993,13.025
CAN,1994,12.741
CAN,1995,12.999
CAN,1996,13.072
CAN,1997,13.451
CAN,1998,13.424
CAN,1999,13.261
CAN,2000,12.764
CAN,2001,12.75
CAN,2002,11.619
CAN,2003,11.223
CAN,2004,11.33
CAN,2005,11.593
CAN,2006,11.62
CAN,2007,12.045
CAN,2008,11.776
CAN,2009,11.716
CAN,2010,10.858
CAN,2011,11.109
CAN,2012,11.354
CAN,2013,11.253
CAN,2014,11.355
CAN,2015,12.073
CAN,2016,11.862
CAN,2017,11.725
CAN,2018,12.027
CZE,1993,3.301
CZE,1994,4.008
CZE,1995,4.435
CZE,1996,4.411
CZE,1997,4.46
CZE,1998,4.362
CZE,1999,4.146
CZE,2000,4.189
CZE,2001,4.104
CZE,2002,4.287
CZE,2003,4.462
CZE,2004,4.451
CZE,2005,4.225
CZE,2006,3.967
CZE,2007,3.994
CZE,2008,3.535
CZE,2009,3.461
CZE,2010,3.324
CZE,2011,3.539
CZE,2012,3.567
CZE,2013,3.656
CZE,2014,3.564
CZE,2015,3.583
CZE,2016,3.84
CZE,2017,4.007
CZE,2018,4.313
DNK,1990,23.983
DNK,1991,23.887
DNK,1992,24.087
DNK,1993,24.322
DNK,1994,25.444
DNK,1995,25.458
DNK,1996,25.252
DNK,1997,25.091
DNK,1998,24.708
DNK,1999,24.944
DNK,2000,24.683
DNK,2001,24.965
DNK,2002,24.667
DNK,2003,24.622
DNK,2004,23.997
DNK,2005,23.981
DNK,2006,23.887
DNK,2007,24.498
DNK,2008,24.121
DNK,2009,25.172
DNK,2010,23.241
DNK,2011,23.18
DNK,2012,23.278
DNK,2013,25.001
DNK,2014,26.247
DNK,2015,25.266
DNK,2016,24.259
DNK,2017,24.197
DNK,2018,24.422
FIN,1990,14.902
FIN,1991,14.96
FIN,1992,14.297
FIN,1993,14.424
FIN,1994,15.383
FIN,1995,13.839
FIN,1996,14.948
FIN,1997,13.839
FIN,1998,13.453
FIN,1999,13.009
FIN,2000,14.031
FIN,2001,13.589
FIN,2002,13.526
FIN,2003,13.133
FIN,2004,12.732
FIN,2005,12.903
FIN,2006,12.767
FIN,2007,12.539
FIN,2008,12.696
FIN,2009,12.711
FIN,2010,12.05
FIN,2011,12.283
FIN,2012,12.507
FIN,2013,12.786
FIN,2014,13.395
FIN,2015,13.253
FIN,2016,13.022
FIN,2017,12.628
FIN,2018,12.309
FRA,1990,4.392
FRA,1991,5.122
FRA,1992,4.701
FRA,1993,4.846
FRA,1994,4.936
FRA,1995,4.813
FRA,1996,5.045
FRA,1997,5.361
FRA,1998,7.444
FRA,1999,7.667
FRA,2000,7.797
FRA,2001,7.615
FRA,2002,7.319
FRA,2003,7.35
FRA,2004,7.196
FRA,2005,7.718
FRA,2006,7.542
FRA,2007,7.238
FRA,2008,7.352
FRA,2009,7.143
FRA,2010,7.179
FRA,2011,7.43
FRA,2012,8.028
FRA,2013,8.433
FRA,2014,8.49
FRA,2015,8.511
FRA,2016,8.558
FRA,2017,8.568
FRA,2018,9.473
DEU,1990,9.589
DEU,1991,9.627
DEU,1992,10.116
DEU,1993,9.77
DEU,1994,9.638
DEU,1995,9.957
DEU,1996,8.828
DEU,1997,8.49
DEU,1998,8.874
DEU,1999,9.062
DEU,2000,9.174
DEU,2001,9.497
DEU,2002,8.634
DEU,2003,8.268
DEU,2004,7.756
DEU,2005,7.808
DEU,2006,8.357
DEU,2007,8.708
DEU,2008,9.38
DEU,2009,9.089
DEU,2010,8.503
DEU,2011,8.829
DEU,2012,9.374
DEU,2013,9.57
DEU,2014,9.612
DEU,2015,9.802
DEU,2016,9.932
DEU,2017,10.193
DEU,2018,10.373
GRC,1990,3.555
GRC,1991,3.218
GRC,1992,2.773
GRC,1993,2.586
GRC,1994,2.974
GRC,1995,3.235
GRC,1996,3.171
GRC,1997,3.704
GRC,1998,4.359
GRC,1999,4.547
GRC,2000,4.338
GRC,2001,4.006
GRC,2002,4.279
GRC,2003,4.089
GRC,2004,4.102
GRC,2005,4.376
GRC,2006,4.359
GRC,2007,4.536
GRC,2008,4.568
GRC,2009,4.472
GRC,2010,3.988
GRC,2011,4.776
GRC,2012,6.963
GRC,2013,5.967
GRC,2014,5.909
GRC,2015,5.729
GRC,2016,5.895
GRC,2017,6.23
HUN,1991,6.622
HUN,1992,6.725
HUN,1993,7.041
HUN,1994,6.717
HUN,1995,6.576
HUN,1996,6.889
HUN,1997,6.341
HUN,1998,6.281
HUN,1999,6.687
HUN,2000,7.151
HUN,2001,7.357
HUN,2002,7.553
HUN,2003,7.015
HUN,2004,6.568
HUN,2005,6.543
HUN,2006,6.653
HUN,2007,7.159
HUN,2008,7.604
HUN,2009,7.297
HUN,2010,6.497
HUN,2011,5.024
HUN,2012,5.636
HUN,2013,5.324
HUN,2014,5.233
HUN,2015,5.279
HUN,2016,5.225
HUN,2017,5.411
HUN,2018,5.175
ISL,1990,8.186
ISL,1991,8.174
ISL,1992,8.388
ISL,1993,9.026
ISL,1994,9.326
ISL,1995,9.552
ISL,1996,10.262
ISL,1997,10.423
ISL,1998,11.286
ISL,1999,12.02
ISL,2000,12.502
ISL,2001,13.111
ISL,2002,13.071
ISL,2003,13.358
ISL,2004,13.261
ISL,2005,13.731
ISL,2006,13.513
ISL,2007,13.066
ISL,2008,12.423
ISL,2009,11.813
ISL,2010,11.796
ISL,2011,12.549
ISL,2012,12.731
ISL,2013,13.202
ISL,2014,13.049
ISL,2015,12.99
ISL,2016,13.547
